ID     Ref      Name                       C_key   Type   RA               DEC              Vel       B_mag    V_mag    J_mag    K_mag    Teff   logg   M/H     Vmic   Simbad_Identifier                    Fe/H     Mg/H    
1645   ROE10    HD119516                   *       RG     13_43_26.72477   15_34_31.0743    -285.5    9.59     9.12     7.771    7.366    5290   1.1    -2.15   2.25   HD_119516                            -2.26    -1.96   
1646   JON05    LHS2815                    *       MS     13_51_40.40235   -57_26_8.356     18.3      8.647    7.982    6.633    6.195    5406   4.59   -0.99   1.5    HD_120559                            -0.99    -0.67   
1648   JON05    HD122196                   *       SG     14_1_2.11888     -38_3_3.2204     -26.4     9.19     8.75     7.629    7.275    5934   3.92   -1.69   1.5    HD_122196                            -1.69    -1.53   
1649   AFS16    HD122563                   *       RG     14_2_31.84546    9_41_9.9479      -26.58    7.1      6.19     4.33     3.731    4500   0.8    -2.9    2.2    HD_122563                            -2.92    -2.45   
1650   AFS16    HD122563-IR                *       RG     14_2_31.84546    9_41_9.9479      -26.58    7.1      6.19     4.33     3.731    4500   0.8    -2.9    2.2    HD_122563                            -2.9     -2.47   
1652   AND10    HD122563                   *       RG     14_2_31.84546    9_41_9.9479      -26.58    7.1      6.19     4.33     3.731    4600   1.1    -2.82   2      HD_122563                            -2.82    -2.31   
1653   AOK02a   HD122563                   *       RG     14_2_31.84546    9_41_9.9479      -26.58    7.1      6.19     4.33     3.731    4600   1.1    -2.5    2.2    HD_122563                            -2.64    -2.16   
1654   AOK05    HD122563                   *       RG     14_2_31.84546    9_41_9.9479      -26.58    7.1      6.19     4.33     3.731    4600   1.1    -2.5    2.2    HD_122563                            -2.62    -2.11   
1658   CAY04    HD122563                   *       RG     14_2_31.84546    9_41_9.9479      -26.58    7.1      6.19     4.33     3.731    4600   1.1    -2.8    2      HD_122563                            -2.78    -2.47   
1659   FUL00    HD122563                   *       RG     14_2_31.84546    9_41_9.9479      -26.58    7.1      6.19     4.33     3.731    4425   0.6    -2.6    2.05   HD_122563                            -2.77    -2.18   
1661   HOL11    HD122563                   *       RG     14_2_31.84546    9_41_9.9479      -26.58    7.1      6.19     4.33     3.731    4450   0.5    -2.96   2.3    HD_122563                            -2.96    -2.55   
1662   HON04    HD122563                   *       RG     14_2_31.84546    9_41_9.9479      -26.58    7.1      6.19     4.33     3.731    4570   1.1    -2.77   2.2    HD_122563                            -2.76    -2.25   
1665   JOH02a   HD122563                   *       RG     14_2_31.84546    9_41_9.9479      -26.58    7.1      6.19     4.33     3.731    4450   0.5    -2.65   2.3    HD_122563                            -2.73    -2.08   
1668   NOR97b   HD122563                   *       RG     14_2_31.84546    9_41_9.9479      -26.58    7.1      6.19     4.33     3.731    4650   1.4    -2.68   2.6    HD_122563                            -2.68    -2.38   
1671   ROE14b   HD122563                   *       RG     14_2_31.84546    9_41_9.9479      -26.58    7.1      6.19     4.33     3.731    4500   0.55   -2.93   1.95   HD_122563                            -2.97    -2.46   
1672   RYA96    HD122563                   *       RG     14_2_31.84546    9_41_9.9479      -26.58    7.1      6.19     4.33     3.731    4650   1.4    -2.68   2.6    HD_122563                            -2.68    -2.38   
1676   WES00    HD122563                   *       RG     14_2_31.84546    9_41_9.9479      -26.58    7.1      6.19     4.33     3.731    4500   1.3    -2.7    2.5    HD_122563                            -2.72    -2.25   
1678   FUL00    HIP68807                   *       RG     14_5_13.02449    -14_51_25.4544   165.56    8.18     7.25     5.23     4.563    4575   1.1    -1.7    1.9    HD_122956                            -1.81    -1.36   
1679   FUL00    HIP68796                   *       MS     14_4_57.07111    74_34_24.8942    12.9      8.79     8.22     6.999    6.65     5725   4.5    -0.4    0.9    HD_123710                            -0.5     -0.45   
1680   JON05    LTT5609                    *       SG     14_16_57.39839   -50_16_52.8908   53.65     9.22     8.67     7.496    7.147    5694   3.86   -0.69   1.5    HD_124785                            -0.69    -0.39   
1682   FUL00    HIP70647                   *       RG     14_27_0.36294    -22_14_38.9913   149.2     9.88     9.6      7.258    6.668    4675   2.3    -2.8    1.55   HD_126587                            -2.97    -2.29   
1684   HON04    HIP70647                   *       RG     14_27_0.36294    -22_14_38.9913   149.2     9.88     9.6      7.258    6.668    4960   2.1    -2.78   1.8    HD_126587                            -2.77    -2.38   
1685   JOH02a   HD126587                   *       RG     14_27_0.36294    -22_14_38.9913   149.2     9.88     9.6      7.258    6.668    4675   1.25   -2.9    1.9    HD_126587                            -3.06    -2.41   
1686   MCW95    HD126587                   *       RG     14_27_0.36294    -22_14_38.9913   149.2     9.88     9.6      7.258    6.668    4910   1.85   -2.9    2.03   HD_126587                            -2.83    -2.51   
1688   ROE14b   HD126587                   *       RG     14_27_0.36294    -22_14_38.9913   149.2     9.88     9.6      7.258    6.668    4640   1      -3.21   1.75   HD_126587                            -3.29    -2.68   
1689   FUL00    HIP70681                   *       MS     14_27_24.91067   -18_24_40.4385   -45.58    9.939    9.535    8.044    7.631    5450   4.5    -1.1    0.8    HD_126681                            -1.23    -0.96   
1690   JON05    HD126793                   *       MS     14_30_12.65686   -62_51_44.465    -9.18     8.76     8.24     7.082    6.722    5800   4.18   -0.81   1.5    HD_126793                            -0.81    -0.5    
1693   ISH10    HD128279                   *       RG     14_36_48.50938   -29_6_46.6291    -75.76    8.63     8        6.568    6.065    5003   2.49   -2.44   1.42   HD_128279                            -2.44    -1.95   
1694   ISH12    HD128279                   *       RG     14_36_48.50938   -29_6_46.6291    -75.76    8.63     8        6.568    6.065    5328   3.17   -2.16   1.44   HD_128279                            -2.16    -1.91   
1696   JOH02a   HD128279                   *       RG     14_36_48.50938   -29_6_46.6291    -75.76    8.63     8        6.568    6.065    5100   2.7    -2.2    1.4    HD_128279                            -2.38    -1.81   
1697   JON05    HD128279                   *       RG     14_36_48.50938   -29_6_46.6291    -75.76    8.63     8        6.568    6.065    5216   2.94   -2.16   1.5    HD_128279                            -2.16    -1.76   
1698   MCW95    HD128279                   *       RG     14_36_48.50938   -29_6_46.6291    -75.76    8.63     8        6.568    6.065    5480   3.1    -2.4    1.98   HD_128279                            -2.06    -1.68   
1699   ROE10    HD128279                   *       RG     14_36_48.50938   -29_6_46.6291    -75.76    8.63     8        6.568    6.065    5050   2.35   -2.45   1.5    HD_128279                            -2.51    -2.02   
1702   ROE14b   HD128279                   *       RG     14_36_48.50938   -29_6_46.6291    -75.76    8.63     8        6.568    6.065    5050   2.15   -2.64   1.55   HD_128279                            -2.52    -2.04   
1704   ROE14d   HD128279                   *       RG     14_36_48.50938   -29_6_46.6291    -75.76    8.63     8        6.568    6.065    5175   2.6    -2.37   1.5    HD_128279                            -2.37    -1.96   
1706   ZHA09    HD128279                   *       RG     14_36_48.50938   -29_6_46.6291    -75.76    8.63     8        6.568    6.065    5100   2.92   -2.24   1.4    HD_128279                            -2.24    -1.82   
1707   FUL00    HIP71886                   *       MS     14_42_11.19947   3_56_19.0275     -14.48    9.34     8.96     8.032    7.789    6400   4.1    -0.3    1.5    HD_129392                            -0.38    -0.3    
1708   FUL00    HIP71887                   *       MS     14_42_11.32128   31_55_36.3102    *         9.23     8.76     7.79     7.519    6100   4.3    -0.4    1.2    HD_129515                            -0.47    -0.44   
1709   FUL00    HIP71939                   *       MS     14_42_48.60791   4_2_44.6928      1.18      9.29     8.81     7.866    7.54     6300   4.4    -0.2    1.5    HD_129518                            -0.35    -0.29   
1710   FUL00    HIP73385                   *       SG     14_59_49.76519   -22_0_45.8099    176.45    9.11     8.55     7.33     6.94     5575   3.6    -1.5    1.35   HD_132475                            -1.57    -1.05   
1711   JON05    HD132475                   *       SG     14_59_49.76519   -22_0_45.8099    176.45    9.11     8.55     7.33     6.94     5619   3.75   -1.53   1.5    HD_132475                            -1.53    -1.18   
1712   FUL00    HIP74067                   *       MS     15_8_12.56723    -7_54_47.5321    -61.11    9.266    9.018    6.807    6.434    5575   4.3    -0.8    1.1    HD_134088                            -0.88    -0.54   
1713   FUL00    HIP74033                   *       MS     15_7_46.50006    8_52_47.2143     -59.79    8.83     8.26     7.093    6.695    5675   4.1    -0.7    1.05   HD_134113                            -0.76    -0.46   
1714   FUL00    HIP74079                   *       SG     15_8_18.05809    3_55_50.1283     19.4      8.22     7.7      6.553    6.16     5825   4      -0.7    1.3    HD_134169                            -0.81    -0.51   
1715   FUL00    HIP74235                   *       MS     15_10_13.08805   -16_22_45.8609   310.12    9.837    9.066    7.7      7.04     4850   4.5    -1.4    0.7    HD_134439                            -1.55    -1.52   
1716   RYA91    LHS53                      *       MS     15_10_13.08805   -16_22_45.8609   310.12    9.837    9.066    7.7      7.04     4975   4.2    -1.92   1      HD_134439                            -1.77    -1.84   
1717   FUL00    HIP74234                   *       MS     15_10_12.96898   -16_27_46.5169   310.77    10.217   9.426    7.74     7.19     4750   4.5    -1.4    0.7    HD_134440                            -1.49    -1.47   
1720   MCW95    HD13979                    *       RG     2_15_20.85346    -25_54_54.8684   54        9.81     9.18     7.645    7.093    4970   1.15   -2.7    2.35   HD_13979                             -2.63    -2.35   
1721   ROE14b   HD13979                    *       RG     2_15_20.85346    -25_54_54.8684   54        9.81     9.18     7.645    7.093    4830   1.6    -2.72   1.6    HD_13979                             -2.97    -2.5    
1722   AFS16    HD140283                   *       SG     15_43_3.09706    -10_56_0.6036    -169      7.711    7.212    6.014    5.588    5650   3.4    -2.7    1.7    HD_140283                            -2.71    -2.45   
1723   AFS16    HD140283-IR                *       SG     15_43_3.09706    -10_56_0.6036    -169      7.711    7.212    6.014    5.588    5650   3.4    -2.7    1.7    HD_140283                            -2.7     -2.44   
